# 846 карточек игроков, заведённых 03.09.2026 сборщиком составов
# (docs/clubs_squads_wikidata.py --create-cards). В проде они лежат
# с active = false: голые, без фото, страны, описания и славы.
#
# ⚠️ QID ХРАНИТСЯ ЗДЕСЬ, ПОТОМУ ЧТО В cards ЕГО КОЛОНКИ НЕТ. Без него
# просмотры этим карточкам придётся искать резолвом по имени, а он
# промахивается молча: замер на первых четырёх карточках очереди —
# «Гарри Невилл», «Хын Мин Сон», «Расмус Хёйлунн», «Скотт МакТоминэй»
# — 4 из 4 не найдены. Отсюда и файл: угадывать нечего, имя ВЗЯТО
# из Викиданных, и вот сущность, откуда оно взято.
#
# card_id	name_ru	name_en	qid
bfad64d7-ad3a-4fdb-b1f8-1291fd610b42	Страхиня Павлович	Strahinja Pavlović	Q61899299
ea1ee467-068d-4c16-b27c-e9f7683f0f69	Лоренцо Торриани	Lorenzo Torriani	Q130316144
b69b138b-9352-4f06-942e-16145df4207a	Кони Де Винтер	Koni De Winter	Q108200391
e479b29c-4a49-40ce-b380-aae24af49605	Чевейо Мюл-Балентьен	Cheveyo Balentien	Q136002157
fc290641-92b5-4635-830a-4eb43f7f16d8	Марио Хила	Mario Gila	Q109255453
e5e7b625-7716-48b5-bac1-c124c6dd0d5e	Эмерсон Лейте ди Соуза Жуниор	Emerson Royal	Q30123152
cd9b5bdd-1673-4200-b84a-10ee376a16d0	Андреас Юнгдаль	Andreas Jungdal	Q113572629
9685ac8c-4618-4385-a60c-862ad15528e7	Явайро Дилросун	Javairô Dilrosun	Q56440679
e55d5f9e-0fad-4bd0-8b61-003fd0ad2e44	Хави Лопес	Javi López	Q96483893
f171706a-63c0-4f60-b7b1-481074a46b5e	Гауссу Диарра	Gaoussou Diarra	Q130244995
cea9baf1-e770-43f0-966d-587786544107	Зепиквено Редмонд	Zépiqueno Redmond	Q131139641
7517b41c-50f4-4e5f-8001-401922743604	Барт Ньивкоп	Bart Nieuwkoop	Q21084019
0383f0d8-90f7-437a-a39f-690591847d03	Steven Benda	Steven Benda	Q70276774
