# Дубли колоды, найденные по ТОЖДЕСТВЕННОСТИ (один QID — один человек),
# а не по похожести имён. Сравнение имён их не ловит: «Кейсуке Хонда» и
# «Кэйсукэ Хонда» похожи на 0.47, отчество из титула ру-вики сдвигает
# difflib ещё сильнее.
#
# Найдено 04.09.2026 первым же прогоном docs/cards_pageviews_world.py:
# уникальный индекс cards_wikidata_qid_uidx не дал второй карточке
# получить тот же QID, и сборщик напечатал пару.
#
# ⚠️ НИЧЕГО НЕ ПОГАШЕНО. Какую из пары оставить — решение человека: у
# карточек разные фото, описания и собранная статистика, и выбор наугад
# теряет ту, что богаче. После правки active обязателен
# select refresh_card_fame().
#
# qid	id_с_qid	имя_с_qid	fame	фото	id_дубля	имя_дубля	fame	фото
Q99360090	f556c6b3-07df-4856-8ba6-9cbe650f8d1b	Илья Забарный	79	да	1791d9ba-655d-426b-83ad-c660f1a578f0	Илья Борисович Забарный	None	да
Q357984	64a17dc4-8d8b-403b-9304-08c04cc2f35b	Кевин Де Брёйне	98	да	1cce0c66-5d50-47f6-9bb4-e93679a56cbf	Кевин Де Брюйне	None	да
Q196219	f875d59d-147f-4ec4-bdc2-a4bde3fb3280	Генрих Гамлетович Мхитарян	83	да	256cb8f8-2caf-4580-aabd-c5bdd171636c	Генрих Мхитарян	None	да
Q27342447	e688c52f-cf6a-473d-adec-0bb74d1435d7	Андрей Алексеевич Лунин	89	да	289ded08-f2b8-4476-a2f9-ab2154d087d3	Андрей Лунин	None	да
Q7381020	98347962-2772-4a77-a1bb-38523195548a	Руслан Владимирович Малиновский	59	да	4a313190-1e20-4bae-aa55-7856675bdd3d	Руслан Малиновский	None	да
Q97630957	7128ae38-e1de-4bf2-9ff5-5e9bea69220d	Егор Романович Ярмолюк	50	да	4d2d6597-a0c2-49e9-9683-8bf222fdc122	Егор Ярмолюк	None	да
Q51022055	1517a451-6f84-48e2-ac5a-da8f7097949e	Нуралы Пактулы Алип	40	да	6a574fcc-f29f-4af3-8b10-80f3742d6d61	Нуралы Алип	None	да
Q58494476	98fa4f1c-b4f2-441e-8658-10ee0625a179	Михаил Мудрик	95	да	743430cc-7e42-4802-8775-ad03edccce35	Михаил Петрович Мудрик	None	да
Q11059683	1ec121c1-c46b-41d0-94f7-818d85d2de29	Пьер-Эмиль Хёйбьерг	74	да	796999cd-beab-4cc2-a5f9-1b97dac8c669	Пьер-Эмиль Хейбьерг	None	да
Q47250201	590162a5-8739-47fd-8009-081410703a0c	Кристиян Бистрович	35	да	82ffe678-7c63-4160-aa68-3d15d84f63cb	Кристиан Бистрович	None	да
Q104454	d38f1d00-2dad-47ae-bca9-49e5169b1932	Марио Гётце	85	да	8a869f21-e421-435a-b3e3-7e619f155b73	Марио Гетце	None	да
Q192840	bed43db1-40f5-4b1c-882b-3f59388303b6	Сами Хююпия	64	да	c5da3913-1205-4915-a96f-f65f65b76bbd	Сами Хююпя	None	да
Q37875995	abb66aff-bff1-4379-8f23-df55b184305d	Виталий Сергеевич Миколенко	55	да	c6771c5b-4747-43a2-85b2-e722c3d22893	Виталий Миколенко	None	да
Q151838	0579d0ba-8de5-40f1-b160-fec3c454862a	Аксель Витсель	78	да	c93d59e6-a563-40c3-952c-e18a613ecb6b	Аксель Витцель	None	да
Q28967995	844d5a9c-4e20-4537-8dc0-ec601943ec77	Эрлинг Холанн	100	да	ce4e0d29-2190-4212-b0b7-a8f1f1e1fa89	Эрлинг Холанд	None	да
Q129116	0c5331f6-39da-4f4b-9db9-6de2e0b5c17e	Оливер Бауман	67	да	d26d9838-1285-42bc-a1c8-d7bb1e7834e4	Оливер Бауманн	None	да
Q151269	6b897121-9e50-436e-9d1e-ab2573ff2cf3	Роберт Левандовский	99	да	de9739b3-463b-491c-b659-9c1c080e1288	Роберт Левандовски	None	да
Q27889974	4a09cab4-d6d8-473e-8bd3-8d475383b7f3	Мойзе Кен	86	да	e9384bfe-848f-4164-b086-245249a0f4ce	Мойзе Кин	None	да
Q160472	4fb02286-ae56-4c4c-b738-59f1115a576d	Марк-Андре Тер Стеген	92	да	ef85ba36-9582-4dec-b356-95590e4e5282	Марк-Андре Тер Штеген	None	да
