# Карточки игроков, у которых wikidata_qid указывает НЕ НА ЧЕЛОВЕКА.
# Найдено 04.09.2026 запросом P31=Q5 по всем 2884 QID карточек игроков.
#
# ПРИЧИНА — МОЯ. docs/cards_pageviews_world.py резолвил QID по титулу
# ру-вики (pvi.qids_for_ru_titles) БЕЗ P31-гарда, а у мононима статья с
# его именем — это страница ФАМИЛИИ: «Беллингем» → Q16479897
# «Bellingham (surname)» вместо Q66241169 «Jude Bellingham».
#
# Тем же промахом испорчены и просмотры: они сняты со страницы фамилии.
# У «Андерсона» en=24325 — это фамилия, а не игрок.
#
# Всего: 120 карточек, из них активных 110.
#
# id	имя	name_en	qid	fame	pageviews	языки
b55959a9-5d80-4324-9026-8be3141da28d	Халк	Hulk	Q188760	90	93070	ar,en,es,fr,ja,ko,zh
7247c4d7-5b84-4273-91a2-7d01eec819c9	Александр Зинченко	Oleksandr Zinchenko	Q18242443	77	242299	en
c63486cc-d6e0-43ca-87ef-58dcd918ed89	Крис	Kris	Q331220	70	25526	ar,en,es,fr,ja,ko,pt,zh
06859d69-cfed-444f-8b61-997282698919	Александар Митрович	Aleksandar Mitrović	Q3609461	54	77306	en,fr,pt,zh
76864cb4-7821-482d-bf7f-481f47097296	Артур	Arthur	Q1778168	51	14826	ar,en,fr,zh
bba4bb22-04a3-4903-8ce0-fdab65b8f8bd	Майкл Доусон	Michael Dawson	Q51316	48	17989	ar,en,es,fr,ko,pt,zh
0e078cbf-a617-4b81-89ba-c5703c74277a	Ришарлисон	Richarlison	Q109083786	44	40839	ru
38eb2b9e-63cd-464f-9ee4-7452345b1fd5	Андерсон	Anderson	Q1848748	36	4575	en
480461da-be44-4c6d-86bd-4a450a83faf7	Родриго Рикельме	Rodrigo Riquelme	Q97705042	35	22156	en
99e9ec02-f756-47bd-ad96-c4d9520ca838	Алекс	Aleks	Q226308	35	21076	ar,en,fr,ja,ko,pt,zh
515a03bd-8396-42c6-9ce4-18dcd15e2438	Милан Гайич	Milan Gajić	Q1934216	34	19346	en,fr,ja
1e97cc72-420a-40d0-80ac-ff17b24f3819	Максвелл	Maksvell	Q219153	33	2284	ar,en,es,fr,ja,ko,pt,zh
b2d1ce97-0099-4548-8dea-5e11699560eb	Артём Тимофеев	Artem Timofeev	Q16253698	32	16543	en
07e7d795-a010-4bb0-b1e4-a5e9f7c98a09	Родриган	Rodrigão	Q10363993	31	14923	en
629e4d5b-ca36-4504-b5b8-df04f83a0cd4	Хоакин	Joaquín	Q6204496	31	1389	en,es,ko
bc9c1558-31a2-4731-9bad-8bb47706b907	Нуну Мендеш	Nuno Mendes	Q1037795	31	15003	ar,en,fr
c9c984f9-6683-4437-9240-82af45ac6d2f	Фред	Fred	Q3350191	30	813	en,fr,ja,ko,pt
2008c103-ffc5-44f6-a3d5-cd319bbde85b	Оскар	Oscar (footballer, born 1991)	Q1178739	26	10019	en
3e9805b3-991b-4368-9725-aa087f7af05f	Георгий Арутюнян	Georgi Harutyunyan	Q124763005	26	9737	ru
bad1eb0a-d8c8-4c82-bd0f-671dcd193681	Эмерсон	Emerson	Q224022	25	1008	ar,en,es,fr,ja,ko
db301b6c-eba4-4863-a0a2-a5c059c14e49	Нино	Nino	Q8140440	25	8910	en,es,fr,pt
e6b24dd0-0cec-4f7a-86f7-00da53a1b328	Иван Комаров	Ivan Komarov	Q4229284	25	9293	en
6e99f7de-b4d8-4bff-8c45-27f3f262534b	Владислав Яковлев	Vladislav Yakovlev	Q18995341	23	7187	en,ko
c5344eef-9e34-45d1-9c0c-955a8eb82dc1	Диего Карлос	Diego Carlos	Q109082992	23	7912	ru
4cfe1855-80f9-4e91-96c5-a32745a2312e	Майкон	Maykon	Q1885185	22	593	en,es,fr,ja,ko,pt
8800de0e-8b9f-404d-82bb-610bd5005262	Гильерме	Gilerme	Q1310869	22	448	en
b778bc9f-4b7a-43d2-b081-cdb8fee6543b	Михаил Щетинин	Mikhail Shchetinin	Q4529009	22	6595	en
01a67917-e07d-45e5-a2c9-19b2a3638906	Рауль	Raúl (footballer)	Q5195925	20	5838	es
0ba8b77a-7d66-4bc5-933d-692dd2997700	Мамаду Майга	Mamadou Maiga	Q21509426	18	5328	en,ko
2331c1f2-cad4-4e11-b2b5-3d1a32c5fdd2	Залимхан Юсупов	Zalimkhan Yusupov	Q124762145	18	5212	en
717567ec-30de-4832-8078-b56bc4958e9d	Марсело	Marcelo (footballer, born 1988)	Q2372965	18	1507	en
f1a599c7-d8d5-4542-8e95-ff94a68ccbb9	Никита Глушков	Nikita Glushkov	Q28309527	18	5209	en
cfeb84fb-8a16-420d-9c62-38271a7d82d9	Висенте	Visente	Q1178922	17	269	en,es,fr,ja,pt
6e7918aa-4659-4362-bff8-0d218a93f3bb	Жуниньо	Zhunino	Q569193	16	696	ar,en,es,fr,ja,ko,pt
a474cb3f-98d1-453f-b36a-14e38c263671	Хулио Сесар Энсисо	Julio Enciso	Q87301049	16	4604	en,ja
e83475da-70ec-490d-971c-fe8d87588190	Педро	Pedro	Q2066425	14	3924	en,es,fr,ja,ko,pt
ee020603-064c-4800-979a-4325f874ebc7	Юрий Журавлёв	Yuri Zhuravlev	Q16652478	14	3860	en
e8fd84e0-ed2c-4949-aea0-85a734951aac	Эстеван	Estevan	Q1018271	13	619	ar,es,fr,pt
968f6699-09fd-4c97-a717-bef1e2a9dbc2	Крис Вуд	Chris Wood	Q18913420	12	125	ar,en,fr,ja,ko,zh
1c3c0c3d-ac35-469c-b3b7-a63d9ac393c6	Эдер	Eder	Q356879	10	795	en,fr
973132b8-383e-4283-895c-f8529e57a9af	Жуан	Zhuan	Q290155	10	1444	fr,ja,ko
71df46c4-51af-4a00-a194-f24a1ef20910	Рамирес	Ramires	Q1173656	9	1301	en,ja,ko
a2b555eb-c41b-4d67-a636-8374a1f4e62b	Савин	Savin	Q1241213	8	1815	en,fr
e8650c81-c7f1-44f6-8078-0679503efc9a	Ли Сяопэн	Li Xiaopeng	Q262672	8	431	en,fr,ja,ko,ru,zh
25b8cb25-81d3-433f-84ca-7776a06ac308	Малком	Malcom	Q737806	7	1495	es,fr
3a641835-bd5c-4573-b987-e15b2e3b715f	Беллингем	Jude Bellingham	Q16479897	7	1519	en
91f642d1-526d-4d8c-8f38-5994464e3086	Диего Рейес	Diego Reyes	Q5274784	7	7	en,es,ru
88acd059-a1e4-44aa-b6f0-4ab0916af812	Робсон	Robson	Q2160130	6	628	en,es,fr,ja,pt
a5e97b63-8e3b-496d-886f-7e629b12edf9	Хуанфран	Juanfran	Q1710719	6	150	en,es,fr,ja,ko,zh
bb37879d-5040-4596-89c2-fcee78b6bf43	Талиска	Talisca	Q2392477	6	1226	en,fr,pt
ef173da8-b75c-487a-a599-6860923e2243	Роландо		Q352239	6	162	en,es,fr,ja
712681a6-a197-45cd-b0df-d7c61f16bcb8	Андрей Тихонов	Andrey Tikhonov	Q502589	5	849	ko
8c3ee942-701c-4dd9-92cb-23046b0feed7	Данило	Danilo Alvim	Q4154624	5	644	en,ja
a34ba3c6-6174-4210-863f-514ade592f13	Паулиньо	Paulino	Q4347187	5	953	ru
b7e0cf37-d82a-4d99-9fa5-b862ec5b9b4a	Рикардо Родригес	Ricardo Rodriguez	Q409348	5	5	ar,es,fr,ja,pt,zh
