category,category_ru,name,difficulty,forbidden_words
referee,судьи,Александр Егоров,medium,Александр Егоров|Александр|Егоров
referee,судьи,Андреас Фриск,medium,Андреас Фриск|Андреас|Фриск
referee,судьи,Антонио Матеу Лаос,medium,Антонио Матеу Лаос|Антонио|Матеу|Лаос
referee,судьи,Виталий Мешков,medium,Виталий Мешков|Виталий|Мешков
referee,судьи,Виктор Кашшаи,medium,Виктор Кашшаи|Виктор|Кашшаи
referee,судьи,Владислав Безбородов,medium,Владислав Безбородов|Владислав|Безбородов
referee,судьи,Вольфганг Штарк,medium,Вольфганг Штарк|Вольфганг|Штарк
referee,судьи,Вячеслав Колосков,medium,Вячеслав Колосков|Вячеслав|Колосков
referee,судьи,Дамир Скомина,medium,Дамир Скомина|Дамир|Скомина
referee,судьи,Джюнейт Чакыр,medium,Джюнейт Чакыр|Джюнейт|Чакыр
referee,судьи,Джонатан Мосс,medium,Джонатан Мосс|Джонатан|Мосс
referee,судьи,Клеман Тюрпен,medium,Клеман Тюрпен|Клеман|Тюрпен
referee,судьи,Марк Клаттенбург,medium,Марк Клаттенбург|Марк|Клаттенбург
referee,судьи,Мартин Аткинсон,medium,Мартин Аткинсон|Мартин|Аткинсон
referee,судьи,Масссимо Бузакка,medium,Масссимо Бузакка|Масссимо|Бузакка
referee,судьи,Михаил Вилков,medium,Михаил Вилков|Михаил|Вилков
referee,судьи,Николай Левников,medium,Николай Левников|Николай|Левников
referee,судьи,Николай Иванов,medium,Николай Иванов|Николай|Иванов
referee,судьи,Никола Риццоли,medium,Никола Риццоли|Никола|Риццоли
referee,судьи,Овидиу Хацеган,medium,Овидиу Хацеган|Овидиу|Хацеган
referee,судьи,Олег Лапочкин,medium,Олег Лапочкин|Олег|Лапочкин
referee,судьи,Педро Проэнса,medium,Педро Проэнса|Педро|Проэнса
referee,судьи,Пьерлуиджи Коллина,medium,Пьерлуиджи Коллина|Пьерлуиджи|Коллина
referee,судьи,Роберто Розетти,medium,Роберто Розетти|Роберто|Розетти
referee,судьи,Сергей Карасёв,medium,Сергей Карасёв|Сергей|Карасёв
referee,судьи,Славко Винчич,medium,Славко Винчич|Славко|Винчич
referee,судьи,Стивен Беннетт,medium,Стивен Беннетт|Стивен|Беннетт
referee,судьи,Том Хеннинг Эвребё,medium,Том Хеннинг Эвребё|Том|Хеннинг|Эвребё
referee,судьи,Франк де Блекере,medium,Франк де Блекере|Франк|де|Блекере
referee,судьи,Феликс Брых,medium,Феликс Брых|Феликс|Брых
